427,Josiah Deguara,TE,2.7,24.4
428,DeSean Jackson,WR,3.5,24.3
429,Geoff Swaim,TE,2,23.8
430,Pharaoh Brown,TE,2.6,23.7
431,Breshad Perriman,WR,2.9,23.3
431,Jack Stoll,TE,2.3,23.3
433,Tanner Hudson,TE,3.9,23.2
434,Austin Seibert,K,7.7,23
435,Joshua Dobbs,QB,11.4,22.8
436,Malcolm Brown,RB,3.3,22.8
437,Reggie Gilliam,RB,2.8,22.6
438,Dan Arnold,TE,2,22.5
439,Malik Willis,QB,3.2,22.3
440,Tom Kennedy,WR,3.2,22.1
441,Brett Rypien,QB,5.5,22
441,Tevin Coleman,RB,7.3,22
443,Corey Clement,RB,4.4,21.9
444,David Sills V,WR,3.1,21.6
445,Jeff Smith,WR,3.1,21.4
446,Darrel Williams,RB,4.2,21.1
447,Ko Kieft,TE,1.5,21
448,Davis Webb,QB,20.8,20.8
449,David Blough,QB,10.3,20.6
450,Skylar Thompson,QB,2.9,20.5
451,Quintin Morris,TE,2.3,20.4
452,Derek Watt,RB,1.7,20.2
453,Kenny Golladay,WR,3.4,20.1
454,Patrick Ricard,RB,1.5,20
454,Matt Ammendola,K,5,20
456,Kyle Allen,QB,6.6,19.9
457,Chris Myarick,TE,2,19.5
457,Ross Dwelley,TE,3.9,19.5
459,Sam Howell,QB,19.3,19.3
460,Samori Toure,WR,4.8,19.2
461,T.Y. Hilton,WR,6.4,19.1
462,Anthony Firkser,TE,2.4,19
462,Rodrigo Blankenship,K,6.3,19
464,Royce Freeman,RB,3.8,19
465,Michael Bandy,WR,2.4,18.9
465,Marcus Johnson,WR,2.4,18.9
467,Anthony Schwartz,WR,2.7,18.8
468,Benny Snell Jr.,RB,2.1,18.7
469,Zander Horvath,RB,2.3,18.6
470,Keaontay Ingram,RB,1.6,18.1
471,Giovanni Ricci,TE,1.6,18
472,Parker Hesse,TE,1.5,17.9
473,Brycen Hopkins,TE,2.6,17.9
474,John Wolford,QB,8.9,17.8
475,Bryce Perkins,QB,3.5,17.4
476,Jeff Driskel,QB,2.5,17.2
477,Tre' McKitty,TE,1.3,17.2
478,Cam Sims,WR,1.3,16.9
479,Ronald Jones II,RB,3.2,16.2
480,Dax Milne,WR,1,15.7
481,Jameson Williams,WR,2.5,15.1
482,Taylor Bertolet,K,5,15
483,Phillip Lindsay,RB,4.9,14.8
484,Jordan Wilkins,RB,3.7,14.7
